Transaction_ID,Customer_ID,Order_Date,Product_Category,Transaction_Amount,Status,Region
TXN_1026,CUST_157,2026-01-02,Peer Transfer,300.0,Completed,Europe
TXN_1027,CUST_121,2026-01-02,Peer Transfer,150.0,Completed,LATAM
TXN_1028,CUST_188,2026-01-02,Micro Loan,5000.0,Completed,LATAM
TXN_1029,CUST_148,2026-01-02,Wealth Management,150.0,Completed,LATAM
TXN_1030,CUST_190,2026-01-02,Wealth Management,300.0,Completed,Asia-Pacific
TXN_1031,CUST_158,2026-01-02,Peer Transfer,,Completed,North America
TXN_1032,CUST_141,2026-01-02,Micro Loan,50.0,Completed,Asia-Pacific
TXN_1033,CUST_191,2026-01-02,Peer Transfer,,Refunded,Asia-Pacific
TXN_1034,CUST_159,2026-01-02,Peer Transfer,300.0,Failed,Europe
TXN_1035,CUST_179,2026-01-02,Peer Transfer,50.0,Completed,Europe
TXN_1036,CUST_114,2026-01-02,Micro Loan,150.0,Completed,Europe
TXN_1037,CUST_161,2026-01-02,Wealth Management,300.0,Completed,North America
TXN_1038,CUST_161,2026-01-02,Micro Loan,50.0,Completed,North America
TXN_1039,CUST_146,2026-01-02,Crypto Trade,150.0,Refunded,Europe
TXN_1040,CUST_161,2026-01-02,Micro Loan,150.0,Completed,Europe
TXN_1041,CUST_150,2026-01-02,Micro Loan,300.0,Completed,North America
TXN_1042,CUST_154,2026-01-02,Micro Loan,50.0,Completed,LATAM
TXN_1043,CUST_163,2026-01-02,Micro Loan,1200.0,Completed,North America
TXN_1044,CUST_102,2026-01-02,Wealth Management,5000.0,Completed,North America
TXN_1045,CUST_150,2026-01-02,Crypto Trade,5000.0,Failed,North America
TXN_1046,CUST_106,2026-01-02,Wealth Management,300.0,Completed,Europe
TXN_1047,CUST_120,2026-01-02,Wealth Management,50.0,Completed,LATAM
TXN_1048,CUST_172,2026-01-03,Micro Loan,300.0,Refunded,North America
TXN_1049,CUST_138,2026-01-03,Peer Transfer,50.0,Completed,Europe
TXN_1050,CUST_117,2026-01-03,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1051,CUST_103,2026-01-03,Wealth Management,150.0,Completed,Asia-Pacific
TXN_1052,CUST_188,2026-01-03,Wealth Management,150.0,Completed,North America
TXN_1053,CUST_159,2026-01-03,Micro Loan,300.0,Refunded,Asia-Pacific
TXN_1054,CUST_113,2026-01-03,Wealth Management,300.0,Completed,LATAM
TXN_1055,CUST_108,2026-01-03,Micro Loan,150.0,Failed,Asia-Pacific
TXN_1056,CUST_189,2026-01-03,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1057,CUST_152,2026-01-03,Peer Transfer,5000.0,Refunded,LATAM
TXN_1058,CUST_101,2026-01-03,Crypto Trade,150.0,Completed,North America
TXN_1059,CUST_183,2026-01-03,Peer Transfer,150.0,Failed,North America
TXN_1060,CUST_191,2026-01-03,Wealth Management,50.0,Completed,LATAM
TXN_1061,CUST_159,2026-01-03,Peer Transfer,300.0,Refunded,LATAM
TXN_1062,CUST_170,2026-01-03,Micro Loan,300.0,Completed,LATAM
TXN_1063,CUST_143,2026-01-03,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1064,CUST_107,2026-01-03,Crypto Trade,50.0,Failed,LATAM
TXN_1065,CUST_146,2026-01-03,Peer Transfer,300.0,Completed,Europe
TXN_1066,CUST_134,2026-01-03,Micro Loan,300.0,Failed,Asia-Pacific
TXN_1067,CUST_177,2026-01-03,Micro Loan,50.0,Completed,North America
TXN_1068,CUST_180,2026-01-03,Wealth Management,5000.0,Completed,North America
TXN_1069,CUST_135,2026-01-03,Peer Transfer,50.0,Completed,North America
TXN_1070,CUST_149,2026-01-03,Micro Loan,150.0,Completed,Asia-Pacific
TXN_1071,CUST_103,2026-01-03,Crypto Trade,,Completed,Europe
TXN_1072,CUST_101,2026-01-04,Wealth Management,150.0,Completed,LATAM
TXN_1073,CUST_105,2026-01-04,Crypto Trade,300.0,Completed,LATAM
TXN_1074,CUST_153,2026-01-04,Peer Transfer,150.0,Completed,North America
TXN_1075,CUST_103,2026-01-04,Peer Transfer,50.0,Completed,North America
TXN_1076,CUST_153,2026-01-04,Peer Transfer,5000.0,Completed,Asia-Pacific
TXN_1077,CUST_192,2026-01-04,Wealth Management,150.0,Completed,Europe
TXN_1078,CUST_162,2026-01-04,Micro Loan,1200.0,Completed,LATAM
TXN_1079,CUST_117,2026-01-04,Wealth Management,50.0,Completed,Asia-Pacific
TXN_1080,CUST_189,2026-01-04,Crypto Trade,50.0,Refunded,LATAM
TXN_1081,CUST_143,2026-01-04,Wealth Management,50.0,Failed,North America
TXN_1082,CUST_133,2026-01-04,Crypto Trade,300.0,Completed,LATAM
TXN_1083,CUST_173,2026-01-04,Wealth Management,150.0,Completed,Europe
TXN_1084,CUST_161,2026-01-04,Micro Loan,1200.0,Failed,Europe
TXN_1085,CUST_199,2026-01-04,Crypto Trade,150.0,Completed,North America
TXN_1086,CUST_113,2026-01-04,Peer Transfer,5000.0,Completed,Europe
TXN_1087,CUST_194,2026-01-04,Peer Transfer,50.0,Completed,Europe
TXN_1088,CUST_147,2026-01-04,Wealth Management,1200.0,Completed,Asia-Pacific
TXN_1089,CUST_114,2026-01-04,Peer Transfer,300.0,Completed,LATAM
TXN_1090,CUST_171,2026-01-04,Crypto Trade,300.0,Completed,North America
TXN_1091,CUST_177,2026-01-04,Peer Transfer,1200.0,Refunded,North America
TXN_1092,CUST_186,2026-01-04,Micro Loan,300.0,Failed,North America
TXN_1093,CUST_161,2026-01-04,Micro Loan,300.0,Completed,North America
TXN_1094,CUST_139,2026-01-04,Wealth Management,50.0,Completed,North America
TXN_1095,CUST_184,2026-01-04,Crypto Trade,50.0,Failed,Europe
TXN_1096,CUST_179,2026-01-05,Micro Loan,,Completed,Asia-Pacific
TXN_1097,CUST_181,2026-01-05,Micro Loan,300.0,Completed,North America
TXN_1098,CUST_152,2026-01-05,Crypto Trade,300.0,Completed,Asia-Pacific
TXN_1099,CUST_123,2026-01-05,Peer Transfer,150.0,Refunded,Asia-Pacific
TXN_1100,CUST_125,2026-01-05,Peer Transfer,50.0,Completed,Europe
TXN_1101,CUST_188,2026-01-05,Wealth Management,50.0,Failed,North America
TXN_1102,CUST_159,2026-01-05,Peer Transfer,300.0,Failed,Europe
TXN_1103,CUST_140,2026-01-05,Crypto Trade,150.0,Completed,North America
TXN_1104,CUST_128,2026-01-05,Micro Loan,50.0,Completed,Europe
TXN_1105,CUST_114,2026-01-05,Peer Transfer,150.0,Completed,Asia-Pacific
TXN_1106,CUST_144,2026-01-05,Wealth Management,50.0,Completed,North America
TXN_1107,CUST_164,2026-01-05,Peer Transfer,150.0,Completed,LATAM
TXN_1108,CUST_188,2026-01-05,Crypto Trade,50.0,Completed,Asia-Pacific
TXN_1109,CUST_170,2026-01-05,Wealth Management,300.0,Completed,LATAM
TXN_1110,CUST_108,2026-01-05,Peer Transfer,150.0,Failed,Asia-Pacific
TXN_1111,CUST_187,2026-01-05,Wealth Management,150.0,Completed,Europe
TXN_1112,CUST_100,2026-01-05,Crypto Trade,50.0,Completed,North America
TXN_1113,CUST_107,2026-01-05,Micro Loan,50.0,Completed,Asia-Pacific
TXN_1114,CUST_187,2026-01-05,Crypto Trade,150.0,Completed,Europe
TXN_1115,CUST_162,2026-01-05,Crypto Trade,150.0,Completed,North America
TXN_1116,CUST_110,2026-01-05,Crypto Trade,300.0,Completed,North America
TXN_1117,CUST_180,2026-01-05,Crypto Trade,50.0,Completed,Asia-Pacific
TXN_1118,CUST_107,2026-01-05,Micro Loan,300.0,Completed,North America
TXN_1119,CUST_134,2026-01-05,Micro Loan,1200.0,Completed,Asia-Pacific
TXN_1120,CUST_134,2026-01-06,Wealth Management,300.0,Completed,North America
TXN_1121,CUST_132,2026-01-06,Peer Transfer,50.0,Completed,LATAM
TXN_1122,CUST_104,2026-01-06,Micro Loan,150.0,Refunded,Europe
TXN_1123,CUST_140,2026-01-06,Micro Loan,50.0,Completed,LATAM
TXN_1124,CUST_127,2026-01-06,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1125,CUST_106,2026-01-06,Micro Loan,5000.0,Completed,LATAM
TXN_1126,CUST_172,2026-01-06,Crypto Trade,50.0,Completed,Asia-Pacific
TXN_1127,CUST_171,2026-01-06,Crypto Trade,150.0,Completed,North America
TXN_1128,CUST_111,2026-01-06,Peer Transfer,300.0,Completed,North America
TXN_1129,CUST_133,2026-01-06,Wealth Management,300.0,Completed,Asia-Pacific
TXN_1130,CUST_132,2026-01-06,Wealth Management,150.0,Completed,LATAM
TXN_1131,CUST_147,2026-01-06,Peer Transfer,50.0,Completed,North America
TXN_1132,CUST_122,2026-01-06,Peer Transfer,150.0,Completed,Europe
TXN_1133,CUST_161,2026-01-06,Crypto Trade,150.0,Completed,North America
TXN_1134,CUST_187,2026-01-06,Wealth Management,50.0,Refunded,Europe
TXN_1135,CUST_136,2026-01-06,Micro Loan,150.0,Completed,LATAM
TXN_1136,CUST_198,2026-01-06,Crypto Trade,50.0,Completed,Europe
TXN_1137,CUST_143,2026-01-06,Peer Transfer,50.0,Completed,Europe
TXN_1138,CUST_185,2026-01-06,Wealth Management,150.0,Completed,Europe
TXN_1139,CUST_190,2026-01-06,Micro Loan,50.0,Completed,Europe
TXN_1140,CUST_134,2026-01-06,Micro Loan,150.0,Completed,North America
TXN_1141,CUST_164,2026-01-06,Crypto Trade,300.0,Completed,Europe
TXN_1142,CUST_198,2026-01-06,Wealth Management,1200.0,Completed,North America
TXN_1143,CUST_146,2026-01-06,Wealth Management,50.0,Completed,Europe
TXN_1144,CUST_177,2026-01-07,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1145,CUST_102,2026-01-07,Wealth Management,50.0,Completed,LATAM
TXN_1146,CUST_100,2026-01-07,Wealth Management,300.0,Completed,Europe
TXN_1147,CUST_104,2026-01-07,Crypto Trade,300.0,Completed,Asia-Pacific
TXN_1148,CUST_189,2026-01-07,Wealth Management,50.0,Failed,Europe
TXN_1149,CUST_113,2026-01-07,Micro Loan,,Completed,Europe
TXN_1150,CUST_126,2026-01-07,Crypto Trade,50.0,Completed,Europe
TXN_1151,CUST_108,2026-01-07,Crypto Trade,150.0,Completed,Asia-Pacific
TXN_1152,CUST_178,2026-01-07,Peer Transfer,300.0,Refunded,LATAM
TXN_1153,CUST_114,2026-01-07,Wealth Management,1200.0,Completed,Asia-Pacific
TXN_1154,CUST_189,2026-01-07,Peer Transfer,300.0,Completed,LATAM
TXN_1155,CUST_141,2026-01-07,Micro Loan,1200.0,Completed,Europe
TXN_1156,CUST_176,2026-01-07,Crypto Trade,150.0,Completed,North America
TXN_1157,CUST_150,2026-01-07,Crypto Trade,1200.0,Completed,Europe
TXN_1158,CUST_162,2026-01-07,Crypto Trade,50.0,Completed,LATAM
TXN_1159,CUST_195,2026-01-07,Micro Loan,1200.0,Failed,Asia-Pacific
TXN_1160,CUST_151,2026-01-07,Micro Loan,150.0,Completed,Europe
TXN_1161,CUST_195,2026-01-07,Peer Transfer,1200.0,Completed,Asia-Pacific
TXN_1162,CUST_103,2026-01-07,Peer Transfer,150.0,Refunded,Asia-Pacific
TXN_1163,CUST_193,2026-01-07,Peer Transfer,300.0,Completed,Asia-Pacific
TXN_1164,CUST_122,2026-01-07,Wealth Management,150.0,Completed,Europe
TXN_1165,CUST_114,2026-01-07,Crypto Trade,300.0,Completed,Asia-Pacific
TXN_1166,CUST_142,2026-01-07,Crypto Trade,50.0,Completed,Asia-Pacific
TXN_1167,CUST_128,2026-01-07,Peer Transfer,50.0,Completed,Europe
TXN_1168,CUST_135,2026-01-08,Crypto Trade,50.0,Refunded,Asia-Pacific
TXN_1169,CUST_112,2026-01-08,Peer Transfer,50.0,Completed,Europe
TXN_1170,CUST_131,2026-01-08,Wealth Management,1200.0,Completed,LATAM
TXN_1171,CUST_170,2026-01-08,Wealth Management,50.0,Completed,LATAM
TXN_1172,CUST_158,2026-01-08,Micro Loan,5000.0,Failed,LATAM
TXN_1173,CUST_185,2026-01-08,Wealth Management,150.0,Refunded,Asia-Pacific
TXN_1174,CUST_127,2026-01-08,Peer Transfer,50.0,Failed,North America
TXN_1175,CUST_165,2026-01-08,Wealth Management,300.0,Completed,North America
TXN_1176,CUST_141,2026-01-08,Micro Loan,300.0,Completed,Asia-Pacific
TXN_1177,CUST_144,2026-01-08,Crypto Trade,150.0,Completed,North America
TXN_1178,CUST_161,2026-01-08,Peer Transfer,150.0,Completed,Europe
TXN_1179,CUST_156,2026-01-08,Crypto Trade,300.0,Completed,North America
TXN_1180,CUST_105,2026-01-08,Micro Loan,50.0,Completed,Asia-Pacific
TXN_1181,CUST_127,2026-01-08,Micro Loan,5000.0,Completed,Asia-Pacific
TXN_1182,CUST_127,2026-01-08,Micro Loan,5000.0,Completed,Europe
TXN_1183,CUST_143,2026-01-08,Crypto Trade,300.0,Completed,LATAM
TXN_1184,CUST_183,2026-01-08,Crypto Trade,50.0,Completed,Asia-Pacific
TXN_1185,CUST_129,2026-01-08,Crypto Trade,300.0,Completed,Europe
TXN_1186,CUST_161,2026-01-08,Crypto Trade,50.0,Completed,North America
TXN_1187,CUST_174,2026-01-08,Micro Loan,50.0,Completed,North America
TXN_1188,CUST_191,2026-01-08,Micro Loan,50.0,Completed,Europe
TXN_1189,CUST_188,2026-01-08,Peer Transfer,150.0,Completed,Europe
TXN_1190,CUST_161,2026-01-08,Peer Transfer,1200.0,Completed,Asia-Pacific
TXN_1191,CUST_196,2026-01-08,Crypto Trade,300.0,Completed,North America
TXN_1192,CUST_100,2026-01-09,Wealth Management,300.0,Refunded,Europe
TXN_1193,CUST_126,2026-01-09,Wealth Management,150.0,Completed,North America
TXN_1194,CUST_161,2026-01-09,Micro Loan,150.0,Completed,Europe
TXN_1195,CUST_176,2026-01-09,Micro Loan,150.0,Completed,North America
TXN_1196,CUST_102,2026-01-09,Micro Loan,5000.0,Completed,LATAM
TXN_1197,CUST_169,2026-01-09,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1198,CUST_171,2026-01-09,Peer Transfer,1200.0,Completed,North America
TXN_1199,CUST_126,2026-01-09,Micro Loan,150.0,Refunded,LATAM
TXN_1200,CUST_108,2026-01-09,Micro Loan,150.0,Completed,North America
TXN_1201,CUST_161,2026-01-09,Micro Loan,300.0,Failed,North America
TXN_1202,CUST_136,2026-01-09,Wealth Management,150.0,Completed,LATAM
TXN_1203,CUST_196,2026-01-09,Peer Transfer,1200.0,Completed,North America
TXN_1204,CUST_150,2026-01-09,Wealth Management,,Refunded,North America
TXN_1205,CUST_143,2026-01-09,Wealth Management,150.0,Completed,Asia-Pacific
TXN_1206,CUST_123,2026-01-09,Micro Loan,50.0,Completed,LATAM
TXN_1207,CUST_178,2026-01-09,Micro Loan,150.0,Completed,LATAM
TXN_1208,CUST_158,2026-01-09,Crypto Trade,,Completed,Europe
TXN_1209,CUST_131,2026-01-09,Crypto Trade,50.0,Completed,North America
TXN_1210,CUST_195,2026-01-09,Wealth Management,300.0,Completed,Asia-Pacific
TXN_1211,CUST_187,2026-01-09,Peer Transfer,300.0,Completed,North America
TXN_1212,CUST_151,2026-01-09,Micro Loan,300.0,Completed,North America
TXN_1213,CUST_161,2026-01-09,Micro Loan,50.0,Completed,Europe
TXN_1214,CUST_157,2026-01-09,Wealth Management,300.0,Completed,North America
TXN_1215,CUST_151,2026-01-09,Crypto Trade,,Completed,Asia-Pacific
TXN_1216,CUST_111,2026-01-10,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1217,CUST_138,2026-01-10,Crypto Trade,50.0,Completed,Europe
TXN_1218,CUST_101,2026-01-10,Crypto Trade,5000.0,Completed,North America
TXN_1219,CUST_102,2026-01-10,Crypto Trade,50.0,Failed,Asia-Pacific
TXN_1220,CUST_155,2026-01-10,Crypto Trade,1200.0,Completed,North America
TXN_1221,CUST_180,2026-01-10,Micro Loan,150.0,Completed,North America
TXN_1222,CUST_158,2026-01-10,Micro Loan,50.0,Completed,North America
TXN_1223,CUST_101,2026-01-10,Crypto Trade,1200.0,Completed,Europe
TXN_1224,CUST_101,2026-01-10,Peer Transfer,150.0,Completed,North America
TXN_1225,CUST_191,2026-01-10,Wealth Management,150.0,Completed,Asia-Pacific
TXN_1226,CUST_153,2026-01-10,Peer Transfer,150.0,Completed,North America
TXN_1227,CUST_186,2026-01-10,Peer Transfer,150.0,Completed,Asia-Pacific
TXN_1228,CUST_195,2026-01-10,Peer Transfer,50.0,Failed,North America
TXN_1229,CUST_196,2026-01-10,Crypto Trade,150.0,Failed,Asia-Pacific
TXN_1230,CUST_100,2026-01-10,Micro Loan,5000.0,Refunded,Asia-Pacific
TXN_1231,CUST_118,2026-01-10,Peer Transfer,50.0,Completed,North America
TXN_1232,CUST_101,2026-01-10,Crypto Trade,300.0,Completed,North America
TXN_1233,CUST_152,2026-01-10,Peer Transfer,150.0,Completed,Asia-Pacific
TXN_1234,CUST_143,2026-01-10,Peer Transfer,300.0,Completed,LATAM
TXN_1235,CUST_189,2026-01-10,Crypto Trade,50.0,Completed,Europe
TXN_1236,CUST_131,2026-01-10,Micro Loan,5000.0,Completed,LATAM
TXN_1237,CUST_169,2026-01-10,Micro Loan,150.0,Completed,LATAM
TXN_1238,CUST_131,2026-01-10,Wealth Management,50.0,Completed,North America
TXN_1239,CUST_167,2026-01-10,Crypto Trade,50.0,Completed,Europe
TXN_1240,CUST_154,2026-01-11,Wealth Management,50.0,Completed,LATAM
TXN_1241,CUST_174,2026-01-11,Wealth Management,150.0,Completed,North America
TXN_1242,CUST_155,2026-01-11,Wealth Management,150.0,Failed,LATAM
TXN_1243,CUST_116,2026-01-11,Micro Loan,1200.0,Completed,LATAM
TXN_1244,CUST_137,2026-01-11,Crypto Trade,150.0,Completed,North America
TXN_1245,CUST_123,2026-01-11,Wealth Management,50.0,Completed,North America
TXN_1246,CUST_168,2026-01-11,Crypto Trade,300.0,Completed,North America
TXN_1247,CUST_197,2026-01-11,Crypto Trade,300.0,Completed,Europe
TXN_1248,CUST_169,2026-01-11,Micro Loan,50.0,Completed,LATAM
TXN_1249,CUST_185,2026-01-11,Wealth Management,50.0,Completed,North America
TXN_1250,CUST_110,2026-01-11,Wealth Management,50.0,Completed,Asia-Pacific
TXN_1251,CUST_115,2026-01-11,Crypto Trade,300.0,Completed,LATAM
TXN_1252,CUST_196,2026-01-11,Peer Transfer,300.0,Completed,Asia-Pacific
TXN_1253,CUST_172,2026-01-11,Micro Loan,150.0,Completed,Europe
TXN_1254,CUST_158,2026-01-11,Micro Loan,1200.0,Completed,North America
TXN_1255,CUST_169,2026-01-11,Micro Loan,1200.0,Completed,Asia-Pacific
TXN_1256,CUST_179,2026-01-11,Micro Loan,150.0,Refunded,Europe
TXN_1257,CUST_192,2026-01-11,Wealth Management,1200.0,Completed,North America
TXN_1258,CUST_102,2026-01-11,Wealth Management,50.0,Completed,Asia-Pacific
TXN_1259,CUST_119,2026-01-11,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1260,CUST_158,2026-01-11,Micro Loan,50.0,Completed,Europe
TXN_1261,CUST_135,2026-01-11,Micro Loan,50.0,Completed,North America
TXN_1262,CUST_118,2026-01-11,Crypto Trade,150.0,Completed,North America
TXN_1263,CUST_189,2026-01-11,Wealth Management,,Refunded,Asia-Pacific
TXN_1264,CUST_166,2026-01-12,Micro Loan,50.0,Completed,Asia-Pacific
TXN_1265,CUST_118,2026-01-12,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1266,CUST_119,2026-01-12,Peer Transfer,150.0,Completed,North America
TXN_1267,CUST_195,2026-01-12,Wealth Management,,Completed,Europe
TXN_1268,CUST_170,2026-01-12,Peer Transfer,150.0,Completed,Europe
TXN_1269,CUST_151,2026-01-12,Peer Transfer,150.0,Completed,North America
TXN_1270,CUST_132,2026-01-12,Wealth Management,50.0,Completed,LATAM
TXN_1271,CUST_139,2026-01-12,Micro Loan,50.0,Completed,Europe
TXN_1272,CUST_138,2026-01-12,Micro Loan,5000.0,Completed,Asia-Pacific
TXN_1273,CUST_181,2026-01-12,Peer Transfer,5000.0,Refunded,LATAM
TXN_1274,CUST_100,2026-01-12,Peer Transfer,50.0,Completed,LATAM
TXN_1275,CUST_110,2026-01-12,Micro Loan,5000.0,Refunded,Europe
TXN_1276,CUST_191,2026-01-12,Wealth Management,300.0,Completed,LATAM
TXN_1277,CUST_156,2026-01-12,Peer Transfer,1200.0,Failed,LATAM
TXN_1278,CUST_188,2026-01-12,Crypto Trade,150.0,Completed,Europe
TXN_1279,CUST_149,2026-01-12,Wealth Management,150.0,Failed,Europe
TXN_1280,CUST_122,2026-01-12,Peer Transfer,150.0,Refunded,LATAM
TXN_1281,CUST_130,2026-01-12,Peer Transfer,300.0,Completed,Asia-Pacific
TXN_1282,CUST_193,2026-01-12,Crypto Trade,50.0,Refunded,North America
TXN_1283,CUST_141,2026-01-12,Crypto Trade,50.0,Completed,LATAM
TXN_1284,CUST_198,2026-01-12,Micro Loan,150.0,Completed,LATAM
TXN_1285,CUST_106,2026-01-12,Wealth Management,300.0,Completed,Asia-Pacific
TXN_1286,CUST_115,2026-01-12,Wealth Management,50.0,Completed,LATAM
TXN_1287,CUST_189,2026-01-12,Micro Loan,300.0,Completed,LATAM
TXN_1288,CUST_159,2026-01-13,Wealth Management,5000.0,Completed,North America
TXN_1289,CUST_101,2026-01-13,Wealth Management,50.0,Completed,North America
TXN_1290,CUST_100,2026-01-13,Wealth Management,300.0,Completed,North America
TXN_1291,CUST_147,2026-01-13,Wealth Management,150.0,Failed,Europe
TXN_1292,CUST_111,2026-01-13,Wealth Management,1200.0,Completed,Europe
TXN_1293,CUST_168,2026-01-13,Crypto Trade,50.0,Completed,North America
TXN_1294,CUST_136,2026-01-13,Wealth Management,300.0,Completed,North America
TXN_1295,CUST_131,2026-01-13,Crypto Trade,1200.0,Completed,Europe
TXN_1296,CUST_108,2026-01-13,Wealth Management,,Completed,Asia-Pacific
TXN_1297,CUST_198,2026-01-13,Micro Loan,300.0,Completed,LATAM
TXN_1298,CUST_118,2026-01-13,Peer Transfer,150.0,Completed,LATAM
TXN_1299,CUST_147,2026-01-13,Crypto Trade,300.0,Refunded,North America
TXN_1300,CUST_179,2026-01-13,Wealth Management,1200.0,Completed,Asia-Pacific
TXN_1301,CUST_102,2026-01-13,Micro Loan,150.0,Completed,Europe
TXN_1302,CUST_119,2026-01-13,Peer Transfer,50.0,Completed,North America
TXN_1303,CUST_123,2026-01-13,Crypto Trade,,Completed,Asia-Pacific
TXN_1304,CUST_153,2026-01-13,Peer Transfer,300.0,Completed,Asia-Pacific
TXN_1305,CUST_132,2026-01-13,Micro Loan,300.0,Completed,Asia-Pacific
TXN_1306,CUST_123,2026-01-13,Crypto Trade,50.0,Completed,Europe
TXN_1307,CUST_174,2026-01-13,Peer Transfer,300.0,Completed,Europe
TXN_1308,CUST_171,2026-01-13,Wealth Management,150.0,Refunded,LATAM
TXN_1309,CUST_135,2026-01-13,Crypto Trade,300.0,Failed,LATAM
TXN_1310,CUST_137,2026-01-13,Peer Transfer,50.0,Completed,Asia-Pacific
TXN_1311,CUST_183,2026-01-13,Micro Loan,300.0,Completed,Asia-Pacific
TXN_1312,CUST_198,2026-01-14,Micro Loan,5000.0,Completed,Europe
TXN_1313,CUST_188,2026-01-14,Crypto Trade,50.0,Completed,LATAM
TXN_1314,CUST_198,2026-01-14,Peer Transfer,5000.0,Completed,Asia-Pacific
TXN_1315,CUST_124,2026-01-14,Crypto Trade,150.0,Completed,LATAM
TXN_1316,CUST_192,2026-01-14,Crypto Trade,1200.0,Completed,LATAM
TXN_1317,CUST_117,2026-01-14,Peer Transfer,300.0,Completed,Asia-Pacific
TXN_1318,CUST_181,2026-01-14,Peer Transfer,150.0,Completed,Europe
TXN_1319,CUST_165,2026-01-14,Wealth Management,300.0,Refunded,Asia-Pacific
TXN_1320,CUST_153,2026-01-14,Peer Transfer,1200.0,Refunded,Asia-Pacific
TXN_1321,CUST_134,2026-01-14,Micro Loan,150.0,Completed,LATAM
TXN_1322,CUST_179,2026-01-14,Crypto Trade,150.0,Completed,Asia-Pacific
TXN_1323,CUST_160,2026-01-14,Crypto Trade,300.0,Failed,Europe
TXN_1324,CUST_140,2026-01-14,Micro Loan,1200.0,Completed,Asia-Pacific
TXN_1325,CUST_199,2026-01-14,Peer Transfer,300.0,Completed,Europe
TXN_1326,CUST_132,2026-01-14,Micro Loan,300.0,Completed,Europe
TXN_1327,CUST_167,2026-01-14,Micro Loan,150.0,Completed,LATAM
TXN_1328,CUST_132,2026-01-14,Wealth Management,1200.0,Completed,North America
TXN_1329,CUST_113,2026-01-14,Micro Loan,50.0,Failed,North America
TXN_1330,CUST_120,2026-01-14,Crypto Trade,150.0,Refunded,LATAM
TXN_1331,CUST_147,2026-01-14,Micro Loan,50.0,Completed,Asia-Pacific
TXN_1332,CUST_119,2026-01-14,Crypto Trade,150.0,Completed,LATAM
TXN_1333,CUST_107,2026-01-14,Crypto Trade,150.0,Refunded,Europe
TXN_1334,CUST_106,2026-01-14,Crypto Trade,150.0,Completed,North America
TXN_1335,CUST_166,2026-01-14,Peer Transfer,300.0,Failed,LATAM
TXN_1336,CUST_116,2026-01-15,Wealth Management,150.0,Completed,Asia-Pacific
TXN_1337,CUST_132,2026-01-15,Crypto Trade,150.0,Completed,LATAM
TXN_1338,CUST_147,2026-01-15,Crypto Trade,50.0,Completed,North America
TXN_1339,CUST_175,2026-01-15,Peer Transfer,150.0,Completed,LATAM
